"Date","Price","Condition","YearBuilt","Age","HouseType","Storey","Neighbours","Orientation","Community","M2built","M2eff","Bedrooms","Bathrooms","Bathrooms2","Elevator","Heating","Water","ParkingPlaces","Cod","CP","District","DirExacta","Type","Street","Num","Origin","Neighbourhood"
"2009-10-30",297000,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,4,NA,36,84,64,2,1,NA,TRUE,"central","central",0,"VW0000002627820",48012,"Rekalde",TRUE,"CALLE","ZUGASTINOVIA","7","PARTICULAR",3
"2010-02-22",287000,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,4,NA,36,84,64,2,1,NA,TRUE,"central","central",0,"VW0000002627820",48012,"Rekalde",TRUE,"CALLE","ZUGASTINOVIA","7","PARTICULAR",3
"2010-11-22",283000,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,4,NA,36,84,64,2,1,NA,TRUE,"central","central",0,"VW0000002627820",48012,"Rekalde",TRUE,"CALLE","ZUGASTINOVIA","7","PARTICULAR",3
"2011-02-08",270455,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,4,NA,36,84,64,2,1,NA,TRUE,"central","central",0,"VW0000002627820",48012,"Rekalde",TRUE,"CALLE","ZUGASTINOVIA","7","PARTICULAR",3
"2010-09-20",253000,"segunda mano / buen estado",NA,"+ 30 años","  piso",6,4,NA,30,82,65,2,1,NA,TRUE,"individual","central",0,"VW0000003427608",48010,"Rekalde",TRUE,"CALLE","ZUGASTINOVIA","3","PARTICULAR",3
"2008-12-16",433000,"segunda mano / buen estado",NA,"5-10 años","  piso",6,4,NA,0,75,68,2,2,NA,TRUE,"individual","central",1,"VW0000001975944",48007,"Uribarri",TRUE,"CALLE","PRINCIPE DE VIANA","5","PARTICULAR",26
"2009-09-14",408000,"segunda mano / buen estado",NA,"5-10 años","  piso",6,4,NA,0,75,68,2,2,NA,TRUE,"individual","central",1,"VW0000001975944",48007,"Uribarri",TRUE,"CALLE","PRINCIPE DE VIANA","5","PARTICULAR",26
"2009-10-21",385000,"segunda mano / buen estado",NA,"5-10 años","  piso",6,4,NA,0,75,68,2,2,NA,TRUE,"individual","central",1,"VW0000001975944",48007,"Uribarri",TRUE,"CALLE","PRINCIPE DE VIANA","5","PARTICULAR",26
"2010-01-18",390658,"segunda mano / buen estado",NA,"5-10 años","  piso",6,4,NA,0,75,68,2,2,NA,TRUE,"individual","central",1,"VW0000001975944",48007,"Uribarri",TRUE,"CALLE","PRINCIPE DE VIANA","5","PARTICULAR",26
"2010-11-30",430000,"segunda mano / buen estado",NA,"20-30 años","  piso",8,3,NA,100,125,104,3,2,NA,TRUE,"central","indet",0,"VW0000003663557",48012,"Rekalde",TRUE,"CALLE","GENERAL SALAZAR","5","PARTICULAR",3
"2010-10-14",268000,"segunda mano / buen estado",NA,"+ 30 años","  piso",4,4,NA,40,65,60,2,1,NA,TRUE,"individual","central",0,"VW0000003499756",48004,"Begoña - Santutxu",TRUE,"CALLE","RESURRECCION MARIA AZCUE","3","PARTICULAR",NA
"2010-04-28",220000,"segunda mano / buen estado",NA,"+ 30 años","  piso",5,4,"sur",34,65,0,2,1,NA,TRUE,"individual","central",0,"VW0000003006129",48004,"Begoña - Santutxu",TRUE,"CALLE","MEDICO ANTONIO EGUILUZ","8","PARTICULAR",33
"2007-08-01",408688,"segunda mano / buen estado",NA,"no consta","  piso",NA,NA,NA,0,80,70,3,1,NA,TRUE,"individual","colectiva",0,"VC0000000988898",48004,"Otxarkoaga - Txurdinaga",TRUE,"CALLE","FERNANDO JIMENEZ","10","PARTICULAR",35
"2007-09-02",384647,"segunda mano / buen estado",NA,"no consta","  piso",NA,NA,NA,0,80,70,3,1,NA,TRUE,"individual","colectiva",0,"VC0000000988898",48004,"Otxarkoaga - Txurdinaga",TRUE,"CALLE","FERNANDO JIMENEZ","10","PARTICULAR",35
"2007-12-27",360000,"segunda mano / buen estado",NA,"no consta","  piso",NA,NA,NA,0,80,70,3,1,NA,TRUE,"individual","colectiva",0,"VC0000000988898",48004,"Otxarkoaga - Txurdinaga",TRUE,"CALLE","FERNANDO JIMENEZ","10","PARTICULAR",35
